Name,Sector,Address,City,"State or Province",Zip,Country,Phone,Url,"Revenue ($mlns)",Employees,"Ownership Status",Investors/Acquirers,"Buy M&A Count - Total","Avg. Buy Count Per Year (Last 5 Yrs)","Sell M&A Count - Total","Avg. Sell Count Per Year (Last 5 Yrs)"
Walmart,Retail,"702 SW 8th Street",Bentonville,Arkansas,72716,"United States","(479) 273-4000",www.walmart.com,"572,754",2300000,Public,,20,1.4,5,0.8
Amazon,E-Commerce,"410 Terry Avenue North",Seattle,Washington,98109,"United States","(206) 266-1000",www.amazon.com,"469,822",1523000,Public,,77,4.0,2,0.4
Apple,"Technology Hardware","1 Infinite Loop",Cupertino,California,95014,"United States","(408) 996-1010",www.apple.com,"365,817",150000,Public,,108,3.8,2,
"CVS Health","Healthcare Services","One CVS Drive",Woonsocket,"Rhode Island",02895,"United States","(401) 765-1500",www.cvshealth.com,"292,111",213000,Public,,17,1.0,5,0.4
"Berkshire Hathaway",Diversified,"3555 Farnam Street",Omaha,Nebraska,68131,"United States","(402) 346-1400",www.berkshirehathaway.com,"286,256",360000,Public,,68,0.4,,
Exxon,"Oil/Gas Exploration","5959 Las Colinas Boulevard",Irving,Texas,75039,"United States","(972) 940-6000",www.corporate.exxonmobil.com,"276,692",63000,Public,,8,,6,0.4
Google,"Internet Software and Services","1600 Amphitheatre Parkway","Mountain View",California,94043,"United States","(650) 253-0000",www.abc.xyz,"257,637",139995,Public,,221,4.0,6,0.2
UnitedHealth,"Healthcare Services","UnitedHealth Group Center 9900 Bren Road East",Minnetonka,Minnesota,55343,"United States","(952) 936-1300",www.unitedhealthgroup.com,"255,639",330000,Public,,16,0.6,2,
McKesson,"Information Technology","6555 State Highway 161",Irving,Texas,75039,"United States","(972) 446-4800",www.mckesson.com,"238,228",59000,Public,,51,0.4,17,0.8
AmerisourceBergen,Distribution,"1 West First Avenue",Conshohocken,Pennsylvania,19428,"United States","(610) 727-7000",www.amerisourcebergen.com,"213,989",42000,Public,"Walgreens Boots Alliance, Inc.|Alliance Boots GmbH",13,0.2,3,
AT&T,Communications,"208 South Akard Street",Dallas,Texas,75202,"United States","(210) 821-4105",www.att.com,"168,864",172400,Public,,36,0.6,22,2.0
Microsoft,Software,"One Microsoft Way",Redmond,Washington,98052,"United States","(425) 882-8080",www.microsoft.com,"168,088",181000,Public,,209,7.2,12,0.4
"Costco Wholesale",Retail,"999 Lake Dr",Issaquah,Washington,98027,"United States","(425) 313-8100",www.costco.com,"166,761",156000,Public,,3,0.4,,
"Cardinal Health",Distribution,"7000 Cardinal Place",Dublin,Ohio,43017,"United States","(614) 757-5000",www.cardinalhealth.com,"162,467",44000,Public,,39,,9,0.4
Walgreens,Retail,"108 Wilmot Road",Deerfield,Illinois,60015,"United States","(847) 315-2500",www.walgreensbootsalliance.com,"139,537",223000,Public,,24,0.4,1,
"Elevance Health",Insurance,"220 Virginia Avenue",Indianapolis,Indiana,46204,"United States","(800) 331-1476",www.antheminc.com,"138,639",98200,Public,,25,1.4,2,
Kroger,Retail,"1014 Vine Street",Cincinnati,Ohio,45202,"United States","(513) 762-4000",www.thekrogerco.com,"137,888",500000,Public,,13,0.4,2,0.4
"Ford Motor",Automotive,"One American Road",Dearborn,Michigan,48126,"United States","(313) 322-3000",www.ford.com,"136,341",183000,Public,,12,0.6,12,0.6
"Home Depot",Retail,"2455 Paces Ferry Road",Atlanta,Georgia,30339,"United States","(770) 433-8211",www.homedepot.com,"132,110",504800,Public,,16,0.2,2,
Verizon,Communications,"1095 Avenue of the Americas","New York","New York",10036,"United States","(212) 395-1000",www.verizon.com,"128,292",130100,Public,,34,1.6,13,0.6
Centene,Insurance,"Centene Plaza 7700 Forsyth Boulevard","St. Louis",Missouri,63105,"United States","(314) 725-4477",www.centene.com,"125,982",72500,Public,,20,1.4,4,0.8
