,Name,Sector,Address,City,State or Province,Zip,Country,Phone,Url,Revenue ($mlns),Employees,Ownership Status,Investors/Acquirers,Buy M&A Count - Total,Avg. Buy Count Per Year (Last 5 Yrs),Sell M&A Count - Total,Avg. Sell Count Per Year (Last 5 Yrs),Twitter URL,Twitter Handle
2,Apple,Technology Hardware,1 Infinite Loop,Cupertino,California,95014,United States,(408) 996-1010,www.apple.com,"365,817",150000,Public,,108,3.8,2,,https://twitter.com/apple,apple
5,Exxon,Oil/Gas Exploration,5959 Las Colinas Boulevard,Irving,Texas,75039,United States,(972) 940-6000,www.corporate.exxonmobil.com,"276,692",63000,Public,,8,,6,0.4,https://twitter.com/exxonmobil,exxonmobil
6,Google,Internet Software and Services,1600 Amphitheatre Parkway,Mountain View,California,94043,United States,(650) 253-0000,www.abc.xyz,"257,637",139995,Public,,221,4,6,0.2,https://twitter.com/Google,Google
12,Costco Wholesale,Retail,999 Lake Dr,Issaquah,Washington,98027,United States,(425) 313-8100,www.costco.com,"166,761",156000,Public,,3,0.4,,,https://twitter.com/costco,costco
17,Ford Motor,Automotive,One American Road,Dearborn,Michigan,48126,United States,(313) 322-3000,www.ford.com,"136,341",183000,Public,,12,0.6,12,0.6,http://www.twitter.com/ford,ford
21,GM,Automotive,300 Renaissance Center,Detroit,Michigan,48265,United States,(313) 667-1500,www.gm.com,"122,485",155000,Public,,4,,6,0.2,https://twitter.com/GM,GM
23,Marathon,Energy Services and Equipment,539 South Main Street,Findlay,Ohio,45840,United States,(419) 422-2121,www.marathonpetroleum.com,"119,983",17700,Public,,2,0.2,2,0.4,https://twitter.com/MarathonPetroCo,MarathonPetroCo
24,Facebook,Internet Software and Services,1601 Willow Road,Menlo Park,California,94025,United States,(650) 543-4800,www.facebook.com,"117,929",77805,Public,,83,3.2,,,https://twitter.com/facebook,facebook
26,Dell,Technology Hardware,1 Dell Way,Round Rock,Texas,78682,United States,(800) 289-3355,www.delltechnologies.com,"101,197",133000,Public,,29,,7,0.2,https://twitter.com/delltech,delltech
27,UPS,Transportation,"55 Glenlake Parkway, NE",Atlanta,Georgia,30328,United States,(404) 828-6000,www.ups.com,"97,287",273510,Public,,19,0.4,4,0.4,https://twitter.com/UPS,UPS
31,Target,Retail,1000 Nicollet Mall,Minneapolis,Minnesota,55403,United States,(612) 304-6073,www.targetcorp.com,"93,561",409000,Public,,9,0.2,5,,https://twitter.com/target,target
41,Citi,Financial Services,388 Greenwich Street,New York,New York,10013,United States,(212) 559-1000,www.citigroup.com,"71,887",231000,Public,,16,,18,0.2,https://twitter.com/Citi,Citi
44,Energy Transfer,Energy Services and Equipment,"8111 Westchester Drive, Suite 600",Dallas,Texas,75225,United States,(214) 981-0700,www.energytransfer.com,"67,417",12558,Public,,9,0.6,1,,https://twitter.com/EnergyTransfer,EnergyTransfer
52,Bunge,Agriculture,1391 Timberlake Manor Parkway,St. Louis,Missouri,63017,United States,(314) 292-2000,www.bunge.com,"59,152",22000,Public,,10,,4,0.2,https://twitter.com/bunge,bunge
59,StoneX,Business Services,155 East 44th Street Suite 900,New York,New York,10017,United States,(212) 485-3500,www.stonex.com,"54,140",2946,Public,,17,2.4,,,https://twitter.com/StoneX_Official,StoneX_Official
64,Cisco Systems,Technology Hardware,170 West Tasman Drive,San Jose,California,95134,United States,(408) 526-7209,www.cisco.com,"49,818",77500,Public,,218,3.2,6,0.2,https://twitter.com/Cisco,Cisco
67,Bristol-Myers Squibb,Life Science,430 East 29th Street 14th Floor,New York,New York,10016,United States,(212) 546-4000,www.bms.com,"46,385",32200,Public,,20,0.8,13,0.8,https://twitter.com/bmsnews,bmsnews
70,The Goldman Sachs Group,Financial Services,200 West Street,New York,New York,10282,United States,(212) 902-1000,www.goldmansachs.com,"44,560",40500,Public,,7,0.4,4,0.4,https://twitter.com/GoldmanSachs,GoldmanSachs
71,Nike,Apparel/Textiles,One Bowerman Drive,Beaverton,Oregon,97005,United States,(503) 671-6453,nikeinc.com,"44,538",73300,Public,,11,1,5,0.2,https://twitter.com/Nike,Nike
73,Tyson,Food,2200 W. Don Tyson Parkway,Springdale,Arkansas,72762,United States,(479) 290-4000,www.tysonfoods.com,"43,185",139000,Public,,13,0.6,6,0.6,https://twitter.com/TysonFoods,TysonFoods
77,Oracle,Software,2300 Oracle Way,Austin,Texas,78741,United States,(737) 867-1000,www.oracle.com,"42,440",135000,Public,,131,2,1,,https://twitter.com/Oracle,Oracle
78,TJX,Retail,770 Cochituate Road,Framingham,Massachusetts,1701,United States,(508) 390-1000,www.tjx.com,"41,717",320000,Public,,5,0.2,1,,https://twitter.com/tjmaxx,tjmaxx
79,Enterprise Products Partners,Oil/Gas Exploration,"1100 Louisiana Street, 10th Floor",Houston,Texas,77002,United States,(713) 381-6500,www.enterpriseproducts.com,"40,807",0,Public,,19,0.4,5,0.2,,
80,Coca-Cola,Beverages,One Coca-Cola Plaza,Atlanta,Georgia,30313,United States,(404) 676-2121,www.coca-colacompany.com,"38,660",80300,Public,,18,0.4,8,0.6,https://twitter.com/CocaCola,CocaCola
87,Arrow Electronics,Distribution,9201 East Dry Creek Road,Centennial,Colorado,80112,United States,(303) 824-4000,www.arrow.com,"34,477",20700,Public,,34,0.2,1,,https://twitter.com/Arrow_dot_com,Arrow_dot_com
94,Tesla,Automotive,3500 Deer Creek Road,Palo Alto,California,94304,United States,(650) 681-5000,www.tesla.com,"31,536",70757,Public,,6,0.4,,,https://twitter.com/tesla,tesla
95,Delta,Airlines,Post Office Box 20706,Atlanta,Georgia,30320,United States,(404) 715-2600,www.delta.com,"29,899",83000,Public,,2,,1,,https://twitter.com/Delta,Delta
97,Danaher,Diversified,"2200 Pennsylvania Avenue, NW Suite 800W",Washington,District of Columbia,20037,United States,(202) 828-0850,www.danaher.com,"29,453",78000,Public,,41,0.8,9,0.2,https://twitter.com/DanaherCorp,DanaherCorp
98,Jabil,Manufacturing,"10560 Drive Martin Luther King, Jr. Street North",St. Petersburg,Florida,33716,United States,(727) 577-9749,www.jabil.com,"29,285",260000,Public,,7,0.2,,,https://twitter.com/Jabil,Jabil
101,Lilly,Life Science,Lilly Corporate Center,Indianapolis,Indiana,46285,United States,(317) 276-2000,www.lilly.com,"28,318",35000,Public,,28,1.8,9,0.2,https://twitter.com/lillypad,lillypad
107,CBRE,Real Estate,"2100 McKinney Avenue, Suite 1250",Dallas,Texas,75201,United States,(214) 979-6100,www.cbre.com,"27,746",105000,Public,,45,1.6,1,0.2,https://twitter.com/CBRE,CBRE
109,Broadcom,Semiconductors,1320 Ridder Park Drive,San Jose,California,95131,United States,+408 433 8000,www.broadcom.com,"27,450",20000,Public,,15,0.6,8,0.6,https://twitter.com/Broadcom,Broadcom
111,NRG,Utilities,910 Louisiana Street,Houston,New Jersey,77002,United States,(713) 537-3000,www.nrg.com,"26,989",6635,Public,,15,0.2,6,0.4,https://twitter.com/picknrg,picknrg
113,UNFI,Distribution,313 Iron Horse Way,Providence,Rhode Island,2908,United States,(401) 528-8634,www.unfi.com,"26,514",28300,Public,,8,0.2,,,https://twitter.com/UNFI,UNFI
116,Macy's,Retail,151 West 34th Street,New York,New York,10001,United States,(212) 494-1602,www.macysinc.com,"25,292",123000,Public,,4,0.2,2,,https://twitter.com/macysnews,macysnews
119,PFG,Distribution,12500 West Creek Parkway,Richmond,Virginia,23238,United States,(804) 484-7700,www.pfgc.com,"25,086",20000,Public,,6,0.6,1,,,
121,TD SYNNEX,Business Services,44201 Nobel Drive,Fremont,California,94538,United States,(510) 656-3333,www.synnexcorp.com,"24,676",22000,Public,Apollo Global Management,15,0.4,,,https://twitter.com/SYNNEX,SYNNEX
122,United,Airlines,233 South Wacker Drive,Chicago,Illinois,60606,United States,(872) 825-4000,www.united.com,"24,634",87000,Public,,3,,1,,https://twitter.com/united,united
123,Rite Aid,Retail,30 Hunter Lane,Camp Hill,Pennsylvania,17011,United States,(717) 761-2633,www.riteaid.com,"24,043",50000,Public,,12,0.4,1,,http://www.twitter.com/RiteAid,RiteAid
128,Plains All American,Energy Services and Equipment,"333 Clay Street, Suite 1600",Houston,Texas,77002,United States,(713) 646-4100,www.plainsallamerican.com,"23,290",4400,Public,Kayne Anderson Capital Advisors LP|First Reserve Management L.P.|EnCap Investments|EnCap Flatrock Midstream,7,0.2,2,0.4,,
132,US Foods,Distribution,"9399 West Higgins Road, Suite 500",Rosemont,Illinois,60018,United States,(847) 720-8000,www.usfoods.com,"22,885",26000,Public,KKR & Co. L.P.,23,0.4,,,https://twitter.com/usfoods,usfoods
134,Lithia Motors,Automotive,150 North Bartlett Street,Medford,Oregon,97501,United States,(541) 776-6401,www.lithiainvestorrelations.com,"22,832",21150,Public,,20,1.6,,,https://www.twitter.com/lithiamotors,lithiamotors
138,Visa,Financial Services,PO Box 8999,San Francisco,California,94128,United States,(650) 432-3200,www.usa.visa.com,"21,846",20500,Public,,14,1.6,,,https://twitter.com/visa,visa
142,AerSale,Aerospace,121 Alhambra Plaza Suite 1110,Coral Gables,Florida,33134,United States,(305) 764-3232,www.aersale.com,"20,908",470,Public,,2,0.4,,,https://twitter.com/aersale,aersale
144,ManpowerGroup,Staffing,100 Manpower Place,Milwaukee,Wisconsin,53212,United States,(414) 961-1000,www.manpowergroup.com,"20,724",30000,Public,,14,0.2,,,https://twitter.com/ManpowerGroup,ManpowerGroup
