,Unnamed: 0,Name,Sector,Address,City,State or Province,Zip,Country,Phone,Url,Revenue ($mlns),Employees,Ownership Status,Investors/Acquirers,Buy M&A Count - Total,Avg. Buy Count Per Year (Last 5 Yrs),Sell M&A Count - Total,Avg. Sell Count Per Year (Last 5 Yrs),Twitter URL,Twitter Handle
7,24,Facebook,Internet Software and Services,1601 Willow Road,Menlo Park,California,94025,United States,(650) 543-4800,www.facebook.com,"117,929",77805,Public,,83.0,3.2,,,https://twitter.com/facebook,facebook
8,26,Dell,Technology Hardware,1 Dell Way,Round Rock,Texas,78682,United States,(800) 289-3355,www.delltechnologies.com,"101,197",133000,Public,,29.0,,7.0,0.2,https://twitter.com/delltech,delltech
12,44,Energy Transfer,Energy Services and Equipment,"8111 Westchester Drive, Suite 600",Dallas,Texas,75225,United States,(214) 981-0700,www.energytransfer.com,"67,417",12558,Public,,9.0,0.6,1.0,,https://twitter.com/EnergyTransfer,EnergyTransfer
13,52,Bunge,Agriculture,1391 Timberlake Manor Parkway,St. Louis,Missouri,63017,United States,(314) 292-2000,www.bunge.com,"59,152",22000,Public,,10.0,,4.0,0.2,https://twitter.com/bunge,bunge
14,59,StoneX,Business Services,155 East 44th Street Suite 900,New York,New York,10017,United States,(212) 485-3500,www.stonex.com,"54,140",2946,Public,,17.0,2.4,,,https://twitter.com/StoneX_Official,StoneX_Official
19,73,Tyson,Food,2200 W. Don Tyson Parkway,Springdale,Arkansas,72762,United States,(479) 290-4000,www.tysonfoods.com,"43,185",139000,Public,,13.0,0.6,6.0,0.6,https://twitter.com/TysonFoods,TysonFoods
21,78,TJX,Retail,770 Cochituate Road,Framingham,Massachusetts,1701,United States,(508) 390-1000,www.tjx.com,"41,717",320000,Public,,5.0,0.2,1.0,,https://twitter.com/tjmaxx,tjmaxx
22,79,Enterprise Products Partners,Oil/Gas Exploration,"1100 Louisiana Street, 10th Floor",Houston,Texas,77002,United States,(713) 381-6500,www.enterpriseproducts.com,"40,807",0,Public,,19.0,0.4,5.0,0.2,,
23,80,Coca-Cola,Beverages,One Coca-Cola Plaza,Atlanta,Georgia,30313,United States,(404) 676-2121,www.coca-colacompany.com,"38,660",80300,Public,,18.0,0.4,8.0,0.6,https://twitter.com/CocaCola,CocaCola
24,87,Arrow Electronics,Distribution,9201 East Dry Creek Road,Centennial,Colorado,80112,United States,(303) 824-4000,www.arrow.com,"34,477",20700,Public,,34.0,0.2,1.0,,https://twitter.com/Arrow_dot_com,Arrow_dot_com
28,98,Jabil,Manufacturing,"10560 Drive Martin Luther King, Jr. Street North",St. Petersburg,Florida,33716,United States,(727) 577-9749,www.jabil.com,"29,285",260000,Public,,7.0,0.2,,,https://twitter.com/Jabil,Jabil
32,111,NRG,Utilities,910 Louisiana Street,Houston,New Jersey,77002,United States,(713) 537-3000,www.nrg.com,"26,989",6635,Public,,15.0,0.2,6.0,0.4,https://twitter.com/picknrg,picknrg
33,113,UNFI,Distribution,313 Iron Horse Way,Providence,Rhode Island,2908,United States,(401) 528-8634,www.unfi.com,"26,514",28300,Public,,8.0,0.2,,,https://twitter.com/UNFI,UNFI
34,116,Macy's,Retail,151 West 34th Street,New York,New York,10001,United States,(212) 494-1602,www.macysinc.com,"25,292",123000,Public,,4.0,0.2,2.0,,https://twitter.com/macysnews,macysnews
35,119,PFG,Distribution,12500 West Creek Parkway,Richmond,Virginia,23238,United States,(804) 484-7700,www.pfgc.com,"25,086",20000,Public,,6.0,0.6,1.0,,,
36,121,TD SYNNEX,Business Services,44201 Nobel Drive,Fremont,California,94538,United States,(510) 656-3333,www.synnexcorp.com,"24,676",22000,Public,Apollo Global Management,15.0,0.4,,,https://twitter.com/SYNNEX,SYNNEX
38,123,Rite Aid,Retail,30 Hunter Lane,Camp Hill,Pennsylvania,17011,United States,(717) 761-2633,www.riteaid.com,"24,043",50000,Public,,12.0,0.4,1.0,,http://www.twitter.com/RiteAid,RiteAid
